Municipalidad,PIA,PIM,Certificacion,Compromiso_Anual,Atencion_Compromiso,Devengado,Girado,Avance,año,pct_ejecucion,distrito_limpio,brecha_inversion
MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,126647348,177616126,176650749,175456069,175352183,175352183,175352183,98.7,2025,98.7,PUENTE PIEDRA,2263943
MUNICIPALIDAD DISTRITAL DE LA MOLINA,153682218,176425529,174183742,173595782,172719511,172314978,172295246,97.7,2025,97.7,LA MOLINA,4110551
MUNICIPALIDAD DISTRITAL DE CHORRILLOS,130976103,174360158,172101493,168138291,163587611,160381959,160370689,92.0,2023,92.0,CHORRILLOS,13978199
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES,152471966,171392900,142518885,125732955,102753695,77407163,75185375,45.2,2026,45.2,SAN JUAN DE MIRAFLORES,93985737
MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,98565292,170921034,161002979,137996510,137982304,137965752,137963311,80.7,2023,80.7,PUENTE PIEDRA,32955282
MUNICIPALIDAD DISTRITAL DE SAN BORJA,153155216,170172384,160988152,154830210,153516777,151663181,151663181,89.1,2024,89.1,SAN BORJA,18509203
MUNICIPALIDAD DISTRITAL DE CARABAYLLO,148417544,169866141,116892532,99157564,96121642,75252704,72912070,44.3,2026,44.3,CARABAYLLO,94613437
MUNICIPALIDAD DISTRITAL DE SAN BORJA,153023471,169531391,163405204,162623242,162611966,162247711,162254711,95.7,2025,95.7,SAN BORJA,7283680
MUNICIPALIDAD DISTRITAL DE CHORRILLOS,147677059,167564521,165578439,159330605,157754314,142612200,142612200,85.1,2025,85.1,CHORRILLOS,24952321
MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO,137834900,164714143,97432978,91857498,79714362,71170050,67286707,43.2,2026,43.2,VILLA MARIA DEL TRIUNFO,93544093
MUNICIPALIDAD DISTRITAL DE LA VICTORIA,139248339,163002208,160498833,159081606,158964488,158317778,158317648,97.1,2024,97.1,LA VICTORIA,4684430
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES,127083414,158545189,155591053,155144648,154046389,151706137,151617303,95.7,2025,95.7,SAN JUAN DE MIRAFLORES,6839052
MUNICIPALIDAD DISTRITAL DE CARABAYLLO,140789371,157080351,148093537,147781914,144646555,133698491,133698491,85.1,2025,85.1,CARABAYLLO,23381860
MUNICIPALIDAD DISTRITAL DE SAN BORJA,126685687,156812957,141286101,137433917,135712840,129887380,129887380,82.8,2023,82.8,SAN BORJA,26925577
MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,131550658,156364535,146465019,120363273,78859166,71115686,69987479,45.5,2026,45.5,PUENTE PIEDRA,85248849
MUNICIPALIDAD DISTRITAL DE LOS OLIVOS,104075793,156049668,153204990,152567779,152562056,149194204,149194171,95.6,2025,95.6,LOS OLIVOS,6855464
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES,123385408,154089823,149916073,140403719,138677629,132006322,132005472,85.7,2024,85.7,SAN JUAN DE MIRAFLORES,22083501
MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA),138599660,153223428,131129389,93241365,90541729,70828934,66337705,46.2,2026,46.2,LURIGANCHO,82394494
MUNICIPALIDAD DISTRITAL DE COMAS,119441070,151859699,145778595,141249458,135216678,134910237,134352415,88.8,2023,88.8,COMAS,16949462
MUNICIPALIDAD DISTRITAL DE LOS OLIVOS,143489616,151147742,105856169,79418021,79413210,61827643,60700599,40.9,2026,40.9,LOS OLIVOS,89320099
MUNICIPALIDAD DISTRITAL DE LA MOLINA,146832357,150101752,145629081,143250490,140982756,140604527,140603957,93.7,2024,93.7,LA MOLINA,9497225
